image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,accuracy,precision,recall,f1,average_loss,combined_score,rank
RAW,1,2,0,0.1,30,0.8,1,0.00012,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.5,0.5217391304347825,0.8999999999999999,0.9200484554815265,0.8955272445509918,0.5146911271880639,8.0
RAW,1,2,0,0.1,30,0.8,1,0.00012,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.625,0.6956521739130432,0.3,0.5069654754694126,0.2998019212632711,0.6723411887422828,4.0
RAW,1,2,0,0.1,30,0.8,1,5e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.625,0.6342710997442456,0.5999999999999999,0.7780511811023623,0.862798325739136,0.6312165901023151,6.0
RAW,1,2,0,0.1,30,0.8,1,5e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.0,0.17391304347826075,0.5999999999999999,0.5739519046605661,0.8425733315521289,0.11688105811423144,21.0
RAW,1,2,0,0.1,30,0.8,1,8e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.375,0.4210526315789471,0.5999999999999999,0.6892079666512274,0.5859173431944048,0.4059668894826078,14.0
RAW,1,2,0,0.1,30,0.8,1,8e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.0,0.13913043478260856,0.49999999999999983,0.4951631046119236,0.8316837275258934,0.09350983079438727,22.0
RAW,1,2,0,0.1,30,0.8,1,0.0001,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.375,0.40920716112531963,0.49999999999999983,0.610236220472441,0.8732367428238595,0.39799121366873746,15.0
RAW,1,2,0,0.1,30,0.8,1,0.0001,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.5,0.5217391304347825,0.7999999999999998,0.8642264311555652,0.876598617640262,0.5146662056730531,9.5
RAW,1,2,0,0.1,40,0.8,1,0.00012,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.25,0.2484472049689439,0.3,0.37876730925875646,0.7090468481152793,0.24897021496264665,19.0
RAW,1,2,0,0.1,40,0.8,1,0.00012,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.75,0.7130434782608697,0.7999999999999998,0.9554555680539933,0.33288618917901636,0.7252070108398699,3.0
RAW,1,2,0,0.1,40,0.8,1,5e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.25,0.28260869565217384,0.39999999999999997,0.4803149606299213,0.6571629063097743,0.2719245439645474,17.5
RAW,1,2,0,0.1,40,0.8,1,5e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.125,0.0,0.09999999999999992,0.09388249545729865,0.6962288345970314,0.04109298313512726,23.0
RAW,1,2,0,0.1,40,0.8,1,8e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.5,0.5217391304347825,0.6999999999999997,0.8020247469066366,1.0,0.5146412841580424,11.0
RAW,1,2,0,0.1,40,0.8,1,8e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.0,0.04347826086956519,0.3,0.30708661417322825,0.8638833384789691,0.02925764680107398,24.0
RAW,1,2,0,0.1,40,0.8,1,0.0001,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.375,0.44521739130434757,0.8999999999999999,0.8787401574803149,0.4413036347807878,0.4222611927973137,13.0
RAW,1,2,0,0.1,40,0.8,1,0.0001,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.625,0.6049149338374289,0.8999999999999999,0.9635308744301698,1.1102230246251565e-16,0.6115873113849558,7.0
RAW,1,2,0,0.1,50,0.8,1,0.00012,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.125,0.2722117202268428,0.6999999999999997,0.6808951512639867,0.6210801982559059,0.22395273156736606,20.0
RAW,1,2,0,0.1,50,0.8,1,0.00012,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.625,0.6688963210702339,0.39999999999999997,0.610236220472441,0.7748301895609409,0.6544074134843448,5.0
RAW,1,2,0,0.1,50,0.8,1,5e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.5,0.5217391304347825,0.7999999999999998,0.8642264311555652,0.8007000442744651,0.5146662056730531,9.5
RAW,1,2,0,0.1,50,0.8,1,5e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.375,0.2484472049689439,0.0,0.0,0.42524342483765987,0.2899635120377309,16.0
RAW,1,2,0,0.1,50,0.8,1,8e-05,0.016,10,24,210,None,BCElogitsloss,Adam,1,0.75,0.9999999999999998,0.1999999999999999,0.4351249572064362,0.8835838404801785,0.9176645046396811,2.0
RAW,1,2,0,0.1,50,0.8,1,8e-05,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.25,0.28260869565217384,0.39999999999999997,0.4803149606299213,0.9456545953202717,0.2719245439645474,17.5
RAW,1,2,0,0.1,50,0.8,1,0.0001,0.016,10,24,210,None,BCElogitsloss,Adam,1,1.0,0.9999999999999998,0.6999999999999997,1.0,0.8621253205766751,0.9999252354549678,1.0
RAW,1,2,0,0.1,50,0.8,1,0.0001,0.016,12,24,210,None,BCElogitsloss,Adam,1,0.375,0.4508856682769724,0.9999999999999998,0.929883764529434,0.8156974173545797,0.4260906974805196,12.0
