Points,Lat,Long
point1,55.7069969,12.5511923
point2,55.7069969,12.5511904
point3,55.7069969,12.551219
point4,55.7069969,12.5512247
point5,55.7069893,12.5512171
point6,55.7069893,12.5512123
point7,55.7069893,12.5512123
point8,55.7069893,12.5512123
point9,55.706974,12.5512123
point10,55.706974,12.5512123
point11,55.706974,12.5512123
point12,55.706974,12.5512123
point13,55.706974,12.5512123
point14,55.706974,12.5512104
point15,55.706974,12.5512104
point16,55.706974,12.5512085
point17,55.706974,12.5512085
point18,55.7069664,12.5512085
point19,55.7069664,12.5512085
point20,55.7069664,12.5512085
point21,55.706974,12.5512209
point22,55.706974,12.5512285
point23,55.706974,12.5512085
point24,55.7069893,12.5512247
point25,55.7069893,12.5512247
point26,55.7070312,12.5513325
point27,55.7069969,12.551178
point28,55.7069969,12.5512085
point29,55.7070465,12.5512695
point30,55.7070084,12.551156
point31,55.707016,12.5512171
point32,55.7070656,12.5513
point33,55.7070084,12.5511742
point34,55.707016,12.5512819
point35,55.7070312,12.5511837
point36,55.706974,12.5511332
point37,55.7070465,12.5513287
point38,55.7070312,12.5511942
point39,55.7070084,12.5512209
point40,55.7070656,12.5513487
point41,55.7070084,12.5511694
point42,55.7070389,12.5512857
point43,55.7070656,12.5513411
point44,55.7070656,12.5512333
point45,55.7070084,12.5511694
point46,55.7070389,12.5512209
point47,55.7070312,12.5512028
point48,55.707016,12.5512333
point49,55.7070465,12.5512981
point50,55.7070465,12.5512447
point51,55.7069969,12.5511513
point52,55.7070312,12.5512714
point53,55.7070465,12.5512123
point54,55.7070312,12.5511389
point55,55.7070312,12.5512476
point56,55.7070389,12.5514507
