assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
4	16.400000035762787	610.1911711717714	0.0	0.0	0	1683.6884003124826	0.0	0	2	-111.00000008940697	6672.0	5	0.17114447619326406	3	0.2997688055038452	1.181225736417456	10209	9	1823	False	28	406	555	12434	3166	3425	106610	15025	64	35	102	7	5	4	856	2	0	873	0	188	24	8513	3081	8	12	-15	100.0	4.0	0
6	8.000000029802322	888.7730840727268	0.0	400.6919860839844	0	1255.0639204086465	0.0	0	3	-128.60000002384186	0.0	5	0.20687615158734268	3	1.8122875690460205	1.0280140857302158	10523	6	1939	False	24	326	553	769	481	4271	91572	10856	31	26	25	7	3	3	856	9	0	1481	400	168	268	17544	3664	0	9	17	100.0	4.0	0
4	4.500000029802322	457.7586972455815	0.0	287.6523132324219	0	1307.2035816999999	0.0	0	29	-131.00000008940697	3078.0	4	0.19660127393655605	0	0.03211331367492676	0.7209385129946438	8344	6	0	True	21	0	510	7698	3065	5872	68520	8340	194	34	37	10	4	3	855	0	0	1468	287	173	0	3750	400	6	7	-14	100.0	4.0	0
5	12.000000059604645	1158.9288541776793	0.0	0.0	7	1486.9714351751709	0.0	2	0	-133.20000007748604	6672.0	4	0.29023616627435966	2	0.38667190074920654	1.098198376757433	12817	4	10102	False	24	563	548	28091	2372	7221	126319	10140	51	36	39	6	6	3	855	9	0	2225	0	208	53	11036	3058	2	10	19	100.0	4.0	0
8	16.000000029802322	763.1890213372851	1.0	306.7599792480469	1	1303.9005926	0.0	0	295	-101.40000009536743	6673.0	4	0.22616189808127157	1	-0.11147701740264893	0.6443269137209734	9296	4	2393	False	18	372	508	23979	6480	4011	72651	15185	550	37	42	5	4	3	855	14	0	1467	306	130	164	11615	936	0	6	17	100.0	4.0	0
4	32.00000008940697	924.9381321096648	1.0	568.0	1	1858.4058858395065	0.0	0	103	-124.60000011324883	6673.0	6	0.3386500389320761	5	0.7528771162033081	1.5216362095790812	16682	6	5608	False	30	820	581	40714	12247	9443	160168	10696	721	37	54	8	5	4	855	7	0	2833	568	273	69	21315	196	2	11	18	100.0	4.0	0
7	8.000000059604645	769.5820785076386	0.0	0.0	0	1195.4068794344576	0.0	0	148	-133.00000008940697	6673.0	4	0.3112507684645111	5	2.235543727874756	0.7855264510829514	9304	6	3226	True	21	309	438	18693	6008	5399	69432	8017	462	20	35	5	3	2	855	5	0	1251	0	170	67	5619	359	0	5	16	100.0	4.0	0
3	16.000000059604645	752.967747776005	0.0	562.4000244140625	6	1747.9477509327949	4.0	0	0	-120.40000003576279	6672.0	4	0.24045036845920423	4	0.025971651077270508	0.9218374950768591	10739	10	5456	False	30	625	674	24773	2057	8921	135221	23114	53	40	50	8	6	4	855	6	0	2694	562	213	59	9274	2860	7	9	-16	100.0	4.0	0
7	18.400000035762787	1065.6710658555987	0.0	538.9091796875	0	1573.0947167	0.0	0	5	-122.70000004768372	6672.0	4	0.3232489485190327	4	0.9573618173599243	1.0325852253164542	15228	8	11139	False	27	674	534	13158	4697	6133	195639	8344	88	36	83	6	5	4	855	4	0	2545	538	251	114	13824	4393	5	10	17	100.0	4.0	0
2	12.000000029802322	390.48707332069057	0.0	0.0	3	1305.4860070555856	0.0	0	0	-131.00000008940697	6672.0	5	0.16363635047047323	8	0.686786413192749	0.8463730759470445	10016	4	11266	True	22	448	634	20456	920	4571	124994	5646	40	30	34	4	2	2	855	4	0	763	0	204	48	10828	933	0	10	18	100.0	4.0	0
2	4.0	337.7228292433165	0.0	328.0	0	1301.026867487284	0.0	0	4	-141.00000005960464	0.0	5	0.215725187365608	2	0.3208901882171631	1.0270938566100902	6775	5	1190	False	23	345	551	5636	1981	2663	59330	9713	41	21	55	3	2	2	855	1	0	852	328	171	16	1192	406	11	7	-15	100.0	4.0	0
6	29.30000013113022	918.1593801931893	0.0	903.9000244140625	0	1802.3640095326398	4.000000029802322	0	20	-131.60000005364418	3078.0	6	0.24275616160433658	0	-0.3603780269622803	0.8384513908417213	13003	10	6346	False	28	0	619	21726	6593	12107	142167	8424	361	54	61	17	5	5	854	4	0	2596	903	170	76	2051	1547	8	14	18	100.0	4.0	0
5	17.000000059604645	532.7996843797761	0.0	0.0	17	2149.443928834411	0.0	4	9	-137.00000005960464	6672.0	5	0.12972887741604283	0	-0.27019500732421875	0.7310928378954119	17445	7	3424	True	32	309	532	2420	433	4689	139728	25498	182	0	16	13	9	6	854	8	0	2985	0	191	98	46698	8524	7	12	18	100.0	4.0	0
8	8.400000005960464	1479.7750972382707	0.0	949.7999267578125	0	1782.8063378	0.0	0	31	-127.00000008940697	3078.0	5	0.3795570844836023	2	-0.08813506364822388	0.8645868923222635	12940	7	7819	False	32	0	558	32748	13488	8277	158703	14410	337	71	67	19	7	5	854	12	0	3582	949	220	157	3951	2261	3	12	18	100.0	4.0	0
2	0.0	650.9298440676612	0.0	131.4461669921875	0	1018.1005184482893	0.0	0	25	-141.00000008940697	3078.0	5	0.25002497976197163	2	0.8059678077697754	0.8801997676202077	5582	5	864	True	20	0	417	7574	2617	5836	44275	6061	133	28	25	5	4	2	854	0	0	593	131	109	0	3599	249	0	7	-15	100.0	4.0	0
2	8.5	364.1088800390577	0.0	422.0	3	1317.00909623465	0.0	0	1	-98.50000002980232	6672.0	6	0.15475123813806937	1	0.9040607213973999	0.5407372494204732	7395	7	299	True	23	295	355	350	133	7610	70334	8131	120	27	8	3	4	3	854	8	0	1049	422	138	38	3591	738	9	7	-15	100.0	4.0	0
2	15.500000029802322	181.29843980603854	0.0	518.0	2	1227.9338177964153	4.0	0	3	-135.50000005960464	0.0	6	0.10811609403101888	0	0.04993712902069092	0.8233289816629812	6007	8	0	True	19	0	297	49	49	4837	59131	9054	107	34	8	2	4	3	854	5	0	1433	518	105	40	180	0	8	11	-15	100.0	4.0	0
2	14.700000077486038	506.82408750198954	0.0	710.8441162109375	0	1818.9425274999999	0.0	0	3	-135.80000007152557	0.0	5	0.14207907263523298	0	0.0	0.9336492034619052	11631	7	1543	False	38	370	438	304	304	8455	140620	16297	50	47	33	9	6	5	854	9	0	2204	710	201	401	32616	2342	11	9	-15	100.0	4.0	0
2	5.200000017881393	1149.7864739896477	0.0	195.80001831054688	0	1372.8572147598704	0.0	0	8	-150.2500001192093	0.0	5	0.36492053712587463	3	1.1466784477233887	1.0995620842343157	11340	8	3233	True	24	0	417	34169	11301	3114	78218	9303	20	34	25	42	4	4	853	9	0	1944	195	166	322	8137	2481	5	9	19	100.0	4.0	0
5	0.0	339.52918646960285	0.0	0.0	0	1106.9622039581227	0.0	0	3	-110.6000000834465	6672.0	5	0.12043463570630161	5	0.45556914806365967	1.1100186606275622	7195	6	6222	True	25	357	535	4180	1508	666	66796	5483	43	22	49	1	1	1	853	0	0	446	0	137	0	3437	117	0	9	9	100.0	4.0	0
