assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	mythicItemUsed	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
2	58.00000008940697	332.6288576716917	0.0	0.0	10	1211.678538260439	49.000000059604645	0	3	-62.599999994039536	1	0.23155060455476828	0	-0.1623358130455017	0.8656018752387515	7039	3	0	True	18	296	309	7918	458	4761	66978	7996	101	99	42	9	4	12	437	10	0	5021	0	23	140	10911	775	6	4	6672.0	-16	85.0	2.0	0
23	151.40000021457672	1077.8486644565248	0.0	0.0	37	2341.425351	71.75000008940697	7	17	-47.5	2	0.23936667508493212	0	0.1216195821762085	1.0620783249852854	17434	11	3777	False	30	0	511	222893	35523	12020	15121	22805	280	56	117	35	7	20	437	52	0	8497	0	37	734	14101	5443	10	17	6655.0	-17	85.0	2.0	0
9	94.00000014901161	820.8046903561674	1.0	0.0	7	1301.0582176822181	64.10000011324883	0	2	-46.79999992251396	2	0.2814651180194906	0	-0.03880661725997925	0.8708885216559903	9651	5	0	True	21	0	625	81035	11205	8107	14500	19168	143	44	66	6	3	16	437	24	0	10459	0	26	298	37916	5590	5	6	4633.0	-16	85.0	2.0	0
5	120.40000027418137	465.7326479068781	0.0	2927.40185546875	1	1959.8721066334972	60.00000008940697	0	6	-89.0	2	0.14218996862639455	2	0.1956249475479126	1.1253094335725748	12757	7	0	False	27	421	384	33017	3369	8099	141274	21156	218	63	50	5	6	18	437	9	0	12619	2927	41	284	23073	2656	8	8	6672.0	-17	85.0	2.0	0
7	65.50000011920929	485.1566288132464	0.0	0.0	19	1340.7276971121953	60.00000008940697	1	2	-50.99999997019768	1	0.15684186564672956	4	0.5414332151412964	1.381732566939381	11923	6	2469	False	23	0	950	20515	1933	4836	115361	18839	180	127	64	16	3	15	437	17	0	12392	0	28	205	17922	1185	1	6	6632.0	13	85.0	2.0	0
4	96.80000019073486	663.2857145188151	0.0	0.0	0	1570.0203509855028	76.00000011920929	0	0	-45.999999940395355	2	0.22470628024515366	1	-0.11460292339324951	0.6264196702525932	9795	5	0	True	21	0	358	70643	10286	5582	34361	26518	116	15	144	27	5	18	437	7	0	10050	0	28	170	47047	4480	11	6	0.0	-23	85.0	2.0	0
3	8.0	317.16423653287035	0.0	0.0	3	1326.5229068675173	8.0	1	4	-126.00000008940697	6	0.1198435461083983	0	-0.1349552869796753	0.9697043473147651	9801	4	413	True	20	0	339	46152	5267	5250	20261	8030	65	66	61	12	4	14	437	1	0	1258	0	150	121	14974	0	7	9	0.0	-17	85.0	2.0	0
5	98.00000017881393	432.01263967191306	0.0	0.0	6	1389.3595772876708	73.50000008940697	1	0	-61.49999997019768	1	0.12460784262683317	0	1.0844717025756836	1.3681900403401495	13128	5	1745	False	24	0	0	120443	7370	4872	40392	15902	136	134	87	18	2	15	437	6	0	8614	0	40	605	17103	602	1	6	6662.0	15	85.0	2.0	0
8	95.00000017881393	606.7916855130245	0.0	2448.55419921875	0	1785.5737875	62.00000011920929	0	3	-72.99999994039536	1	0.17551195642934023	3	0.2251647710800171	0.9785340762642271	16448	6	3133	False	28	1425	778	30536	2768	11258	160169	17084	197	55	40	5	4	18	437	4	0	13883	2448	60	253	36240	2435	8	6	6672.0	-18	85.0	2.0	0
14	73.90000009536743	807.7756892023164	0.0	984.0411376953125	37	1973.4813695763905	41.60000002384186	3	7	-78.80000007152557	11	0.20235668024188322	2	-0.3913499712944031	0.8727401303028153	15161	17	634	False	36	0	475	42164	3508	11910	114244	21313	236	186	206	11	5	22	437	32	984	13806	0	39	385	27125	951	8	26	6630.0	-18	85.0	2.0	0
3	23.100000083446503	646.09262215978	1.0	0.0	0	2097.033950849598	0.0	0	9	-132.6000000834465	7	0.24838605086651544	2	-0.7259806394577026	0.49037985306197257	17466	1	10910	False	24	474	373	1494	964	5747	248335	21837	75	23	35	18	4	4	437	23	0	3170	0	267	212	1297	977	8	7	6692.0	-18	85.0	2.0	0
10	83.00000017881393	687.6226038257646	0.0	0.0	6	1559.830580986511	59.75000008940697	0	2	-67.49999997019768	3	0.1863226005296042	4	-0.4930039048194885	0.5024499768422037	14205	1	3131	False	17	0	894	121650	11548	5678	18741	22364	195	65	81	7	3	18	436	18	0	17363	0	79	251	55396	5300	3	4	6653.0	12	85.0	2.0	0
4	90.20000022649765	671.5568707670378	0.0	84.645263671875	30	1722.8516913295932	48.00000008940697	1	3	-85.99999997019768	2	0.17606109781811696	0	-0.4340357184410095	0.8400861837799386	13722	4	1818	False	23	389	540	17305	1901	9892	115558	17986	178	144	65	20	4	19	436	24	84	14696	0	18	200	11406	1838	4	5	6632.0	12	85.0	2.0	0
6	71.00000011920929	1110.5720386787743	1.0	0.0	7	1438.590758845057	65.00000011920929	0	2	-42.99999991059303	2	0.28680569744614814	2	0.4122258424758911	1.328077883175781	14395	3	5020	False	24	0	702	128096	18017	6137	16491	15418	173	57	68	6	3	18	436	21	0	10802	0	68	256	56427	7313	3	5	6653.0	12	85.0	2.0	0
4	3.0	697.8395740409061	0.0	0.0	53	1581.683259210375	0.0	3	19	-127.00000008940697	4	0.21478144119229492	4	0.7187172174453735	0.8722286070569285	11732	5	954	False	17	0	557	112086	16954	6493	10992	10489	164	114	49	8	4	3	436	29	0	830	0	190	266	1278	842	10	11	6655.0	0	85.0	2.0	0
12	112.8000001013279	631.2148881325513	0.0	0.0	23	2312.6240553256066	55.60000005364418	0	0	-52.79999998211861	2	0.16575641343111708	4	0.5513957738876343	1.1511001600263169	20241	6	4204	False	30	0	1173	48295	2850	12104	137432	19864	185	70	120	34	5	27	436	18	0	18672	0	32	161	31899	3023	6	7	6632.0	0	85.0	2.0	0
9	111.50000017881393	831.6055450029475	1.0	0.0	19	1745.465876562133	55.500000059604645	8	3	-63.0	4	0.27879399112887376	5	-0.4319395422935486	0.6616244339844705	16006	4	5224	True	25	0	422	185357	20764	8506	23364	15441	109	72	67	12	4	18	436	14	0	8002	0	57	169	13243	1057	8	6	3152.0	0	85.0	2.0	0
7	102.00000014901161	976.7100669022385	0.0	0.0	13	1756.2791312810298	58.800000071525574	0	1	-80.40000000596046	2	0.30252549946314067	1	-0.12184691429138184	0.7543087771872138	16285	3	611	False	20	0	831	162616	23107	11562	20707	20080	224	69	88	11	3	13	436	32	0	16637	0	104	380	61570	4633	9	5	6653.0	0	85.0	2.0	0
3	93.00000014901161	424.27726383412033	0.0	0.0	7	1567.399411375835	64.00000008940697	4	6	-67.0	1	0.21391736626860297	0	-0.4213080406188965	0.5965886002399363	11064	4	0	True	21	0	827	136505	9252	2956	20492	11140	109	59	59	6	3	14	436	7	0	4745	0	70	127	18110	604	7	5	3152.0	0	85.0	2.0	0
5	80.50000008940697	530.8983392320761	0.0	0.0	10	1594.5956523772106	51.75000002980232	0	4	-85.50000011920929	2	0.22619446535464138	6	-0.1947695016860962	0.940312114819288	10356	4	3960	False	22	0	747	6795	1067	9237	112358	16801	114	9	31	22	4	16	436	195	0	9943	0	23	705	14726	1110	3	5	6631.0	0	85.0	2.0	0
