assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	takedownsFirst25Minutes	lps	max_recurrent_position_percentage	mean_partidas_diarias
17	0.0	144.9606351202038	0.0	8985.0595703125	15	1406.0453743165378	0.0	0	8	-115.00000011920928	3190.0	19	0.0504497754940473	6	0.0	2.172277517352206	9752	7	1511	False	20	0	713	8403	2241	3230	5054	4765	65	34	29	6	6	3	39	19	3335	8077	5649	32	31	6381	504	2	24	0.0	21	100.0	5.0
19	0.0	333.67536097088094	0.0	16818.509765625	36	1787.0745164999998	0.0	0	10	-109.00000005960464	3190.0	19	0.0934516293029723	2	-0.2185734510421753	1.825463501084437	11141	12	1560	False	26	0	508	15607	6834	5545	9264	12721	99	54	46	7	8	3	39	43	6623	14860	10195	33	68	7342	1513	4	25	0.0	21	100.0	5.0
21	1.0	206.4350589245661	0.0	12178.3359375	18	1653.1712286560064	0.0	0	4	-114.80000004172324	0.0	17	0.0609570600790913	7	0.0	1.882386634236717	11173	11	2887	True	24	0	1011	10727	3729	2975	6947	8513	109	38	42	6	7	3	39	17	4131	13495	8046	43	29	7131	890	5	24	0.0	21	100.0	5.0
9	0.0	170.32101397098515	0.0	4945.41162109375	11	1209.115960760983	0.0	0	10	-142.00000005960464	0.0	7	0.0841783522157987	0	0.0	1.6113770840245978	5889	7	592	False	16	0	363	6101	1880	2725	5745	4466	55	27	19	3	5	3	39	13	1608	6345	3336	31	32	7172	450	5	10	0.0	21	100.0	5.0
16	0.0	174.47363435609773	0.0	9234.998046875	14	1461.7224111	0.0	0	12	-141.10000011324885	3190.0	17	0.0454031198760838	1	0.1532124280929565	2.714389225411543	9759	8	963	False	20	0	1180	6898	2796	6194	5204	7130	70	46	31	3	5	4	39	18	3082	10090	6152	37	34	6904	578	0	32	0.0	19	100.0	5.0
21	0.0	205.5993988473339	0.0	14280.697265625	17	1588.9973237413792	0.0	0	3	-113.50000008940695	0.0	15	0.0592183808477748	2	0.0197229385375976	1.71493483013082	12356	7	2921	False	19	0	687	10036	3085	3489	15074	6751	101	62	46	6	5	3	39	19	4908	13829	9372	37	31	7004	940	0	19	0.0	21	100.0	5.0
24	0.0	182.25374927837623	0.0	28860.84375	19	2512.847128578728	0.0	0	2	-125.6000000834465	3190.0	44	0.0494984651358524	3	-0.2933569550514221	2.4523325199024204	16505	17	575	True	32	0	1027	11670	4064	11367	9788	12221	113	90	54	12	10	5	39	21	12380	26926	16480	44	64	11548	2113	7	55	0.0	20	100.0	5.0
17	0.0	205.48453958267925	0.0	8691.1982421875	6	1581.542342114937	0.0	0	7	-133.00000008940697	6617.0	20	0.0791220731643452	3	-0.1603737473487854	2.158351764022147	11018	10	1467	False	24	0	952	12369	3838	3575	4411	4209	58	82	62	7	6	4	39	23	6652	3392	2038	15	220	4103	968	2	26	0.0	20	100.0	5.0
19	0.0	144.86118735714754	0.0	12650.58984375	15	1716.8730027427775	0.0	0	27	-128.8000001013279	3190.0	24	0.056856992966316	0	0.3230445384979248	2.236004064764558	10271	10	208	False	23	0	501	7586	2566	6885	4749	9934	70	41	28	8	5	4	39	18	5736	11848	6913	41	34	7069	667	10	32	0.0	-14	100.0	5.0
26	0.0	168.26237106572756	0.0	21864.59375	23	1907.74396797314	0.0	0	2	-115.60000005364418	3190.0	19	0.0497286008046257	2	-0.3984757661819458	1.562040596656696	13314	8	1255	False	22	0	432	10056	2831	7442	6225	8296	98	59	43	6	8	4	39	17	9411	16378	12453	35	31	7728	1294	5	25	0.0	20	100.0	5.0
28	0.0	133.2160003293435	0.0	21569.060546875	17	2192.2734334876363	0.0	0	3	-105.00000005960464	3190.0	33	0.0398216310508645	5	0.0190455913543701	2.2206012517656544	14354	13	2203	False	26	0	961	12259	3119	6948	8908	8685	108	72	48	12	8	5	39	15	11714	14206	9854	36	46	9789	958	10	42	0.0	-14	100.0	5.0
9	0.0	115.15675265560128	1.0	7499.71484375	11	1283.5036410774974	0.0	0	7	-127.0500001013279	0.0	12	0.0564557480916736	2	-0.1382591724395752	1.6359005964218096	6979	7	1207	False	18	0	0	7302	1723	1877	6214	3904	56	37	22	4	4	2	38	13	2455	8388	5044	27	26	8433	534	1	16	0.0	20	100.0	5.0
20	0.0	141.10727731725544	0.0	17139.046875	10	2060.4548632	0.0	0	55	-125.00000005960464	3190.0	28	0.062033223387805	4	-0.2862417101860046	1.9216129109139075	13742	12	903	False	29	0	1329	8671	2101	2691	9089	12347	83	48	33	6	7	3	38	13	8907	18246	8232	33	28	9085	1634	4	36	0.0	20	100.0	5.0
9	0.0	113.73315821496315	0.0	8846.775390625	8	1557.070468908238	0.0	0	14	-118.00000002980232	0.0	16	0.0456410041140884	2	-0.2306668162345886	1.643745836616192	8869	11	452	False	23	0	214	5319	1458	4680	5698	13961	65	33	27	5	5	4	38	9	3743	7872	5102	41	22	11423	636	10	20	0.0	-14	100.0	5.0
21	0.0	175.1356158239081	0.0	9271.873046875	14	1322.1849741878093	0.0	0	7	-106.00000005960464	3190.0	15	0.0483387140922014	4	4.396257400512695	2.27284842610138	9630	12	1185	False	24	0	609	6956	2357	4835	5121	4296	59	38	32	5	6	3	38	18	4709	6883	4561	28	38	6687	712	0	23	0.0	19	100.0	5.0
24	0.0	156.91483528313873	0.0	19929.16015625	31	2321.724749500293	0.0	0	3	-140.45000010728836	3190.0	39	0.0492942067982922	0	0.8692277669906616	1.932133476012264	14765	17	0	False	30	0	1032	11367	3567	9062	9722	20433	99	70	56	11	10	6	38	37	7896	19696	12032	37	46	10449	1636	10	61	0.0	-14	100.0	5.0
28	0.5	224.6238604919725	0.0	13548.671875	20	1550.4318792218023	1.0	0	14	-123.00000005960464	3190.0	12	0.0684975653146822	3	-0.0160657167434692	2.1459904397905243	12446	8	2321	False	19	0	630	14587	3663	5404	6120	8117	72	57	47	5	5	4	38	23	3711	17230	9837	33	54	10730	1262	4	26	0.0	20	100.0	5.0
15	0.0	202.47023751846328	0.0	17105.2890625	25	1964.5820029689664	0.0	0	1	-107.75000002980232	3190.0	30	0.0694456524784148	2	-0.2168542742729187	2.112072333027037	11809	13	1679	False	25	0	720	17209	4032	8330	8936	13260	89	59	48	8	8	4	38	23	8758	15050	8347	41	62	7513	1327	5	40	0.0	19	100.0	5.0
15	0.0	144.03573702138078	0.0	9879.8388671875	16	1350.3764401985904	0.0	0	0	-92.25000005960464	0.0	11	0.0507425127580988	2	0.5468035936355591	1.658098168041849	8607	8	1821	True	19	0	544	8781	2024	2823	6729	5492	82	36	26	4	4	3	46	19	4050	9375	5829	28	40	8718	621	1	16	0.0	18	100.0	5.0
13	0.0	273.3047161183265	0.0	9184.9365234375	18	1487.9191907365027	0.0	0	0	-121.25000005960464	3190.0	19	0.0976375905872438	2	0.0	1.6117506713866718	8443	5	611	False	17	0	283	9120	4040	7284	8288	12797	80	37	40	6	5	5	46	23	2739	11858	6445	28	38	8098	1052	10	22	0.0	-16	100.0	5.0
